scenario_id,selection_path_id,resistance_repeat,random_seed,source_category,line_component_count,road_component_count,line_threshold_draws_per_component,road_threshold_draws_per_component,fixed_line_threshold_checksum,fixed_road_threshold_checksum,line_threshold_reuse_max_abs_error,road_threshold_reuse_max_abs_error,fixed_resistance_pass
48,3,8,20263726,unobserved_candidate,32,41,1,1,291.641478903133,501.649307611128,0,0,1
49,3,9,20263727,unobserved_candidate,32,41,1,1,240.425889212031,418.489479128947,0,0,1
50,3,10,20263728,unobserved_candidate,32,41,1,1,326.164774541103,461.355220856647,0,0,1
51,3,11,20263729,unobserved_candidate,32,41,1,1,255.547438979501,486.845723875302,0,0,1
52,3,12,20263730,unobserved_candidate,32,41,1,1,284.163555418518,444.601773205169,0,0,1
53,3,13,20263731,unobserved_candidate,32,41,1,1,300.675805118357,460.031090163235,0,0,1
54,3,14,20263732,unobserved_candidate,32,41,1,1,287.256345753553,448.052486294705,0,0,1
55,3,15,20263733,unobserved_candidate,32,41,1,1,220.066470326601,390.66893819733,0,0,1
56,3,16,20263734,unobserved_candidate,32,41,1,1,221.830396229901,459.081207877218,0,0,1
57,3,17,20263735,unobserved_candidate,32,41,1,1,221.806364334507,417.807076026289,0,0,1
58,3,18,20263736,unobserved_candidate,32,41,1,1,203.471983797723,461.823840598454,0,0,1
59,3,19,20263737,unobserved_candidate,32,41,1,1,221.312880338555,428.639250680228,0,0,1
60,3,20,20263738,unobserved_candidate,32,41,1,1,225.300898100125,418.220543422188,0,0,1
61,4,1,20264719,unobserved_candidate,32,41,1,1,233.604451607467,435.363935547277,0,0,1
62,4,2,20264720,unobserved_candidate,32,41,1,1,303.563528421058,436.821848522541,0,0,1
63,4,3,20264721,unobserved_candidate,32,41,1,1,247.921873470566,493.262090004793,0,0,1
64,4,4,20264722,unobserved_candidate,32,41,1,1,306.164761521572,414.839697521932,0,0,1
65,4,5,20264723,unobserved_candidate,32,41,1,1,273.632189442337,406.137673267835,0,0,1
66,4,6,20264724,unobserved_candidate,32,41,1,1,229.975748152049,475.275723939271,0,0,1
67,4,7,20264725,unobserved_candidate,32,41,1,1,247.069873958758,433.58606454612,0,0,1
68,4,8,20264726,unobserved_candidate,32,41,1,1,307.534206441305,477.511615957864,0,0,1
69,4,9,20264727,unobserved_candidate,32,41,1,1,273.956327419805,389.208279466414,0,0,1
70,4,10,20264728,unobserved_candidate,32,41,1,1,219.825723889998,446.167042573055,0,0,1
71,4,11,20264729,unobserved_candidate,32,41,1,1,342.364573784572,449.401071134291,0,0,1
72,4,12,20264730,unobserved_candidate,32,41,1,1,303.590389619906,413.106209830405,0,0,1
73,4,13,20264731,unobserved_candidate,32,41,1,1,257.379834859881,397.621793149149,0,0,1
74,4,14,20264732,unobserved_candidate,32,41,1,1,294.38690822909,495.969496004931,0,0,1
75,4,15,20264733,unobserved_candidate,32,41,1,1,301.876035520238,413.200574373808,0,0,1
76,4,16,20264734,unobserved_candidate,32,41,1,1,245.336959512416,345.332998087394,0,0,1
77,4,17,20264735,unobserved_candidate,32,41,1,1,207.385635801861,445.92080696768,0,0,1
78,4,18,20264736,unobserved_candidate,32,41,1,1,261.964593124958,469.005165922527,0,0,1
79,4,19,20264737,unobserved_candidate,32,41,1,1,280.821607883035,445.756592487918,0,0,1
80,4,20,20264738,unobserved_candidate,32,41,1,1,283.169403317762,439.143079419794,0,0,1
81,5,1,20265719,unobserved_candidate,32,41,1,1,233.757501586361,445.609541449025,0,0,1
82,5,2,20265720,unobserved_candidate,32,41,1,1,175.264362545612,462.03656879544,0,0,1
83,5,3,20265721,unobserved_candidate,32,41,1,1,277.253998594908,355.212371943227,0,0,1
84,5,4,20265722,unobserved_candidate,32,41,1,1,230.281774739395,406.2918146513,0,0,1
85,5,5,20265723,unobserved_candidate,32,41,1,1,279.140074825026,410.538463850995,0,0,1
86,5,6,20265724,unobserved_candidate,32,41,1,1,231.070925560502,367.766969666339,0,0,1
87,5,7,20265725,unobserved_candidate,32,41,1,1,295.148880067664,414.697516614376,0,0,1
88,5,8,20265726,unobserved_candidate,32,41,1,1,305.19511643353,412.436646146609,0,0,1
89,5,9,20265727,unobserved_candidate,32,41,1,1,316.458147306676,451.167133635243,0,0,1
90,5,10,20265728,unobserved_candidate,32,41,1,1,255.280933201136,381.599128083245,0,0,1
91,5,11,20265729,unobserved_candidate,32,41,1,1,305.337902891788,443.901000166876,0,0,1
92,5,12,20265730,unobserved_candidate,32,41,1,1,236.909885367501,452.116300875255,0,0,1
93,5,13,20265731,unobserved_candidate,32,41,1,1,225.708689846989,438.181891146376,0,0,1
94,5,14,20265732,unobserved_candidate,32,41,1,1,280.811829053492,397.154398788413,0,0,1
95,5,15,20265733,unobserved_candidate,32,41,1,1,236.331576579911,359.627595682276,0,0,1
96,5,16,20265734,unobserved_candidate,32,41,1,1,250.583756433228,366.541322179735,0,0,1
97,5,17,20265735,unobserved_candidate,32,41,1,1,266.244128878084,418.790248228608,0,0,1
98,5,18,20265736,unobserved_candidate,32,41,1,1,230.932417362901,389.269214654036,0,0,1
99,5,19,20265737,unobserved_candidate,32,41,1,1,278.252097655278,444.650222008752,0,0,1
100,5,20,20265738,unobserved_candidate,32,41,1,1,264.805265178662,464.973860186149,0,0,1
101,6,1,20266719,unobserved_candidate,32,41,1,1,266.998923863385,477.954415232976,0,0,1
102,6,2,20266720,unobserved_candidate,32,41,1,1,271.669631115372,409.864403901039,0,0,1
103,6,3,20266721,unobserved_candidate,32,41,1,1,283.156406071248,420.768061282024,0,0,1
104,6,4,20266722,unobserved_candidate,32,41,1,1,292.439584072036,425.542662213442,0,0,1
105,6,5,20266723,unobserved_candidate,32,41,1,1,292.98950458431,359.964170192669,0,0,1
106,6,6,20266724,unobserved_candidate,32,41,1,1,308.580655763242,465.462276889968,0,0,1
107,6,7,20266725,unobserved_candidate,32,41,1,1,254.847833075758,409.24845496007,0,0,1
108,6,8,20266726,unobserved_candidate,32,41,1,1,304.772599573248,372.320286522307,0,0,1
109,6,9,20266727,unobserved_candidate,32,41,1,1,236.583788805934,428.279164269246,0,0,1
110,6,10,20266728,unobserved_candidate,32,41,1,1,246.101537234953,454.901107912783,0,0,1
111,6,11,20266729,unobserved_candidate,32,41,1,1,242.636198296759,398.927344894907,0,0,1
112,6,12,20266730,unobserved_candidate,32,41,1,1,221.56629779732,417.850494901122,0,0,1
113,6,13,20266731,unobserved_candidate,32,41,1,1,256.332071771738,405.20788868206,0,0,1
114,6,14,20266732,unobserved_candidate,32,41,1,1,252.787840159486,389.341472396012,0,0,1
115,6,15,20266733,unobserved_candidate,32,41,1,1,254.992021643793,456.596195366113,0,0,1
116,6,16,20266734,unobserved_candidate,32,41,1,1,260.526513515178,385.16794824858,0,0,1
117,6,17,20266735,unobserved_candidate,32,41,1,1,229.250431368682,473.70260400641,0,0,1
118,6,18,20266736,unobserved_candidate,32,41,1,1,283.544891101139,457.811652148817,0,0,1
119,6,19,20266737,unobserved_candidate,32,41,1,1,246.511636631252,440.089949316313,0,0,1
120,6,20,20266738,unobserved_candidate,32,41,1,1,248.587650727378,396.202097298831,0,0,1
121,7,1,20267719,unobserved_candidate,32,41,1,1,243.939200529096,379.734788539568,0,0,1
122,7,2,20267720,unobserved_candidate,32,41,1,1,283.835706303818,370.133319963899,0,0,1
123,7,3,20267721,unobserved_candidate,32,41,1,1,237.452698207132,472.240940353197,0,0,1
124,7,4,20267722,unobserved_candidate,32,41,1,1,265.757273552524,438.904462097069,0,0,1
125,7,5,20267723,unobserved_candidate,32,41,1,1,292.523049344131,446.993746039065,0,0,1
126,7,6,20267724,unobserved_candidate,32,41,1,1,314.857656063417,434.969802696439,0,0,1
127,7,7,20267725,unobserved_candidate,32,41,1,1,264.475162042579,404.216354206275,0,0,1
128,7,8,20267726,unobserved_candidate,32,41,1,1,213.01800512523,451.946675793846,0,0,1
129,7,9,20267727,unobserved_candidate,32,41,1,1,287.438677585117,446.580193072559,0,0,1
130,7,10,20267728,unobserved_candidate,32,41,1,1,204.082336531501,403.060119731245,0,0,1
131,7,11,20267729,unobserved_candidate,32,41,1,1,239.600975571023,409.01122942155,0,0,1
132,7,12,20267730,unobserved_candidate,32,41,1,1,242.481659966432,366.043180410891,0,0,1
133,7,13,20267731,unobserved_candidate,32,41,1,1,293.401141378381,352.078255810427,0,0,1
134,7,14,20267732,unobserved_candidate,32,41,1,1,227.497566010124,548.181533492698,0,0,1
135,7,15,20267733,unobserved_candidate,32,41,1,1,250.506404317879,376.381610282223,0,0,1
136,7,16,20267734,unobserved_candidate,32,41,1,1,285.096660332357,460.543086824091,0,0,1
137,7,17,20267735,unobserved_candidate,32,41,1,1,267.771942436052,460.14652061243,0,0,1
138,7,18,20267736,unobserved_candidate,32,41,1,1,273.639072356113,401.975917183248,0,0,1
139,7,19,20267737,unobserved_candidate,32,41,1,1,263.818357000744,351.708487105177,0,0,1
140,7,20,20267738,unobserved_candidate,32,41,1,1,256.928465216759,411.707861863311,0,0,1
141,8,1,20268719,unobserved_candidate,32,41,1,1,274.184237102054,413.476029445897,0,0,1
142,8,2,20268720,unobserved_candidate,32,41,1,1,250.697051619455,399.601797926756,0,0,1
143,8,3,20268721,unobserved_candidate,32,41,1,1,234.036618776858,382.756659777491,0,0,1
144,8,4,20268722,unobserved_candidate,32,41,1,1,265.966226361329,461.225266098002,0,0,1
145,8,5,20268723,unobserved_candidate,32,41,1,1,274.0051031414,458.034906233606,0,0,1
146,8,6,20268724,unobserved_candidate,32,41,1,1,255.222040988874,462.641298824999,0,0,1
147,8,7,20268725,unobserved_candidate,32,41,1,1,238.725578423152,469.432808594037,0,0,1
148,8,8,20268726,unobserved_candidate,32,41,1,1,283.853276219275,378.383756069417,0,0,1
149,8,9,20268727,unobserved_candidate,32,41,1,1,281.645567852908,324.421480148747,0,0,1
150,8,10,20268728,unobserved_candidate,32,41,1,1,208.11692167092,417.428348461994,0,0,1
151,8,11,20268729,unobserved_candidate,32,41,1,1,295.651083165668,434.759855068216,0,0,1
152,8,12,20268730,unobserved_candidate,32,41,1,1,228.470656704047,469.902765196853,0,0,1
153,8,13,20268731,unobserved_candidate,32,41,1,1,315.118864562216,389.313007994561,0,0,1
154,8,14,20268732,unobserved_candidate,32,41,1,1,234.659113867579,431.002789824547,0,0,1
155,8,15,20268733,unobserved_candidate,32,41,1,1,234.625352311014,493.612001534649,0,0,1
156,8,16,20268734,unobserved_candidate,32,41,1,1,248.140157861824,475.8335655141,0,0,1
157,8,17,20268735,unobserved_candidate,32,41,1,1,314.997799156024,453.882219623039,0,0,1
158,8,18,20268736,unobserved_candidate,32,41,1,1,291.229677448087,442.196929396328,0,0,1
159,8,19,20268737,unobserved_candidate,32,41,1,1,264.610058301134,456.722550468725,0,0,1
160,8,20,20268738,unobserved_candidate,32,41,1,1,227.241105295752,477.954862657642,0,0,1
161,9,1,20269719,unobserved_candidate,32,41,1,1,296.332080369766,330.695552876554,0,0,1
162,9,2,20269720,unobserved_candidate,32,41,1,1,283.982640680663,415.20266063291,0,0,1
163,9,3,20269721,unobserved_candidate,32,41,1,1,286.50622015187,544.726220622525,0,0,1
164,9,4,20269722,unobserved_candidate,32,41,1,1,234.34900468278,476.552477761383,0,0,1
165,9,5,20269723,unobserved_candidate,32,41,1,1,271.007670031982,413.789543850528,0,0,1
166,9,6,20269724,unobserved_candidate,32,41,1,1,247.483384439842,505.427329477279,0,0,1
167,9,7,20269725,unobserved_candidate,32,41,1,1,226.768589608902,470.662241085896,0,0,1
168,9,8,20269726,unobserved_candidate,32,41,1,1,182.661426923583,349.010541739787,0,0,1
169,9,9,20269727,unobserved_candidate,32,41,1,1,314.620351708212,446.184142917626,0,0,1
170,9,10,20269728,unobserved_candidate,32,41,1,1,273.146295775397,365.152803600044,0,0,1
171,9,11,20269729,unobserved_candidate,32,41,1,1,280.893391340099,337.887518530366,0,0,1
172,9,12,20269730,unobserved_candidate,32,41,1,1,239.425551910509,428.15468532339,0,0,1
173,9,13,20269731,unobserved_candidate,32,41,1,1,272.240277295538,513.172494070948,0,0,1
174,9,14,20269732,unobserved_candidate,32,41,1,1,263.53325978563,436.598370115617,0,0,1
175,9,15,20269733,unobserved_candidate,32,41,1,1,262.157616475001,520.113418605937,0,0,1
176,9,16,20269734,unobserved_candidate,32,41,1,1,256.752153482366,473.607118430316,0,0,1
177,9,17,20269735,unobserved_candidate,32,41,1,1,234.110382286999,404.27418384184,0,0,1
178,9,18,20269736,unobserved_candidate,32,41,1,1,332.309287143875,432.21387794563,0,0,1
179,9,19,20269737,unobserved_candidate,32,41,1,1,287.479302448119,464.008947426948,0,0,1
180,9,20,20269738,unobserved_candidate,32,41,1,1,257.385935043192,390.371364722494,0,0,1
181,10,1,20270719,unobserved_candidate,32,41,1,1,268.532836677591,428.989370634926,0,0,1
182,10,2,20270720,unobserved_candidate,32,41,1,1,260.410142518581,419.339221674462,0,0,1
183,10,3,20270721,unobserved_candidate,32,41,1,1,280.047031306593,378.371772160413,0,0,1
184,10,4,20270722,unobserved_candidate,32,41,1,1,179.979338978371,385.477512585441,0,0,1
185,10,5,20270723,unobserved_candidate,32,41,1,1,281.379440191897,414.207687201149,0,0,1
186,10,6,20270724,unobserved_candidate,32,41,1,1,242.926367346121,400.778602933842,0,0,1
187,10,7,20270725,unobserved_candidate,32,41,1,1,261.114210702649,385.190357398715,0,0,1
188,10,8,20270726,unobserved_candidate,32,41,1,1,301.90592034702,483.122556712518,0,0,1
189,10,9,20270727,unobserved_candidate,32,41,1,1,254.569360837663,436.037579263889,0,0,1
190,10,10,20270728,unobserved_candidate,32,41,1,1,283.606322050937,417.60705975741,0,0,1
191,10,11,20270729,unobserved_candidate,32,41,1,1,303.528995499865,434.236930836238,0,0,1
192,10,12,20270730,unobserved_candidate,32,41,1,1,293.84060928636,431.973779331311,0,0,1
193,10,13,20270731,unobserved_candidate,32,41,1,1,308.694980262886,423.479050959381,0,0,1
194,10,14,20270732,unobserved_candidate,32,41,1,1,295.560204569002,488.883228118158,0,0,1
195,10,15,20270733,unobserved_candidate,32,41,1,1,272.137953689478,492.35711480598,0,0,1
196,10,16,20270734,unobserved_candidate,32,41,1,1,246.094810060748,427.202651944303,0,0,1
197,10,17,20270735,unobserved_candidate,32,41,1,1,228.784021325465,388.600495838821,0,0,1
198,10,18,20270736,unobserved_candidate,32,41,1,1,206.778527970022,410.441207296471,0,0,1
199,10,19,20270737,unobserved_candidate,32,41,1,1,234.916172416727,451.009874852724,0,0,1
200,10,20,20270738,unobserved_candidate,32,41,1,1,270.398845748804,483.052023885335,0,0,1
201,11,1,20271719,unobserved_candidate,32,41,1,1,235.099702996192,452.719158537248,0,0,1
202,11,2,20271720,unobserved_candidate,32,41,1,1,267.579895951332,428.039921095439,0,0,1
203,11,3,20271721,unobserved_candidate,32,41,1,1,294.735298111893,401.058822770535,0,0,1
204,11,4,20271722,unobserved_candidate,32,41,1,1,242.420010972996,455.818822377316,0,0,1
205,11,5,20271723,unobserved_candidate,32,41,1,1,279.071088437422,377.959108803846,0,0,1
206,11,6,20271724,unobserved_candidate,32,41,1,1,268.269863474238,438.841146480726,0,0,1
207,11,7,20271725,unobserved_candidate,32,41,1,1,216.383903062478,462.479337253599,0,0,1
208,11,8,20271726,unobserved_candidate,32,41,1,1,283.046644123234,417.316582078909,0,0,1
209,11,9,20271727,unobserved_candidate,32,41,1,1,219.016202287386,353.105936756153,0,0,1
210,11,10,20271728,unobserved_candidate,32,41,1,1,235.313427946725,540.689934517768,0,0,1
211,11,11,20271729,unobserved_candidate,32,41,1,1,266.653800739881,417.217387469888,0,0,1
212,11,12,20271730,unobserved_candidate,32,41,1,1,267.973965040815,431.931888968306,0,0,1
213,11,13,20271731,unobserved_candidate,32,41,1,1,251.197997548058,406.780764346535,0,0,1
214,11,14,20271732,unobserved_candidate,32,41,1,1,243.644995938262,417.55604662134,0,0,1
215,11,15,20271733,unobserved_candidate,32,41,1,1,245.564429921977,476.996191736229,0,0,1
216,11,16,20271734,unobserved_candidate,32,41,1,1,282.181612113367,416.559425378169,0,0,1
217,11,17,20271735,unobserved_candidate,32,41,1,1,289.346664682319,402.619975660628,0,0,1
218,11,18,20271736,unobserved_candidate,32,41,1,1,254.769415681052,413.350496897327,0,0,1
219,11,19,20271737,unobserved_candidate,32,41,1,1,246.160868892784,451.426323488445,0,0,1
220,11,20,20271738,unobserved_candidate,32,41,1,1,267.84921816202,415.949540631233,0,0,1
221,12,1,20272719,unobserved_candidate,32,41,1,1,224.085797970161,502.119293253826,0,0,1
222,12,2,20272720,unobserved_candidate,32,41,1,1,230.701559263342,483.723395774307,0,0,1
223,12,3,20272721,unobserved_candidate,32,41,1,1,291.472885445802,392.193952274223,0,0,1
224,12,4,20272722,unobserved_candidate,32,41,1,1,266.889223650428,341.262019592903,0,0,1
225,12,5,20272723,unobserved_candidate,32,41,1,1,240.83693521122,465.866813644607,0,0,1
226,12,6,20272724,unobserved_candidate,32,41,1,1,245.972122864962,448.953858549031,0,0,1
227,12,7,20272725,unobserved_candidate,32,41,1,1,252.878911512311,429.27259004867,0,0,1
228,12,8,20272726,unobserved_candidate,32,41,1,1,260.113091090739,502.285298735856,0,0,1
229,12,9,20272727,unobserved_candidate,32,41,1,1,240.261840035847,458.197208790342,0,0,1
230,12,10,20272728,unobserved_candidate,32,41,1,1,236.010901835494,426.105670967869,0,0,1
231,12,11,20272729,unobserved_candidate,32,41,1,1,298.75202735658,471.503560357288,0,0,1
232,12,12,20272730,unobserved_candidate,32,41,1,1,245.044874532435,420.192547329729,0,0,1
233,12,13,20272731,unobserved_candidate,32,41,1,1,224.083803430622,419.685690167471,0,0,1
234,12,14,20272732,unobserved_candidate,32,41,1,1,261.691146118753,468.280150430527,0,0,1
235,12,15,20272733,unobserved_candidate,32,41,1,1,278.811064997655,444.64813307863,0,0,1
236,12,16,20272734,unobserved_candidate,32,41,1,1,328.958825359081,454.816421187837,0,0,1
237,12,17,20272735,unobserved_candidate,32,41,1,1,273.657250946217,386.752059946353,0,0,1
238,12,18,20272736,unobserved_candidate,32,41,1,1,263.300131583896,437.714159552679,0,0,1
239,12,19,20272737,unobserved_candidate,32,41,1,1,283.874984711214,411.311516348596,0,0,1
240,12,20,20272738,unobserved_candidate,32,41,1,1,223.865687150129,404.248073916771,0,0,1
241,13,1,20273719,unobserved_candidate,32,41,1,1,326.594680380575,400.625206530922,0,0,1
242,13,2,20273720,unobserved_candidate,32,41,1,1,259.986952849851,446.639677560149,0,0,1
243,13,3,20273721,unobserved_candidate,32,41,1,1,266.384891641131,462.633545673214,0,0,1
244,13,4,20273722,unobserved_candidate,32,41,1,1,208.093685708934,436.593666718314,0,0,1
245,13,5,20273723,unobserved_candidate,32,41,1,1,193.351340505117,467.053336199213,0,0,1
246,13,6,20273724,unobserved_candidate,32,41,1,1,242.867171879007,408.495084703737,0,0,1
247,13,7,20273725,unobserved_candidate,32,41,1,1,282.128071212751,420.522667041633,0,0,1
248,13,8,20273726,unobserved_candidate,32,41,1,1,262.090893666791,411.758370993636,0,0,1
249,13,9,20273727,unobserved_candidate,32,41,1,1,307.224036012876,445.892463826848,0,0,1
250,13,10,20273728,unobserved_candidate,32,41,1,1,271.492715034892,381.878377071418,0,0,1
251,13,11,20273729,unobserved_candidate,32,41,1,1,282.210946859311,479.393091442321,0,0,1
252,13,12,20273730,unobserved_candidate,32,41,1,1,269.486753288388,471.403284118253,0,0,1
253,13,13,20273731,unobserved_candidate,32,41,1,1,297.778120572944,472.531625374232,0,0,1
254,13,14,20273732,unobserved_candidate,32,41,1,1,224.198268025248,458.157904096927,0,0,1
255,13,15,20273733,unobserved_candidate,32,41,1,1,288.984204262012,370.070946370556,0,0,1
256,13,16,20273734,unobserved_candidate,32,41,1,1,229.587281989624,403.394827420654,0,0,1
257,13,17,20273735,unobserved_candidate,32,41,1,1,285.81828798631,411.561636382452,0,0,1
258,13,18,20273736,unobserved_candidate,32,41,1,1,215.663628561443,371.027093035899,0,0,1
259,13,19,20273737,unobserved_candidate,32,41,1,1,292.35345269108,363.030765076938,0,0,1
260,13,20,20273738,unobserved_candidate,32,41,1,1,257.704603357754,466.675171208276,0,0,1
261,14,1,20274719,unobserved_candidate,32,41,1,1,251.055796910583,366.159305898001,0,0,1
262,14,2,20274720,unobserved_candidate,32,41,1,1,269.306332332891,362.6320917823,0,0,1
263,14,3,20274721,unobserved_candidate,32,41,1,1,220.937943845296,441.269794856504,0,0,1
264,14,4,20274722,unobserved_candidate,32,41,1,1,298.679950755209,408.603768048798,0,0,1
265,14,5,20274723,unobserved_candidate,32,41,1,1,302.393165017743,405.635595124438,0,0,1
266,14,6,20274724,unobserved_candidate,32,41,1,1,192.3587965405,401.130971656347,0,0,1
267,14,7,20274725,unobserved_candidate,32,41,1,1,223.296502766383,425.518578521288,0,0,1
268,14,8,20274726,unobserved_candidate,32,41,1,1,218.606994958412,451.161677857864,0,0,1
269,14,9,20274727,unobserved_candidate,32,41,1,1,296.35886588163,506.621017217568,0,0,1
270,14,10,20274728,unobserved_candidate,32,41,1,1,282.305923058392,467.721865176649,0,0,1
271,14,11,20274729,unobserved_candidate,32,41,1,1,231.693635505369,394.355917602536,0,0,1
272,14,12,20274730,unobserved_candidate,32,41,1,1,279.746416807654,518.205642394629,0,0,1
273,14,13,20274731,unobserved_candidate,32,41,1,1,300.132499197369,428.215776448393,0,0,1
274,14,14,20274732,unobserved_candidate,32,41,1,1,260.779811127097,433.416951937892,0,0,1
275,14,15,20274733,unobserved_candidate,32,41,1,1,264.710104847442,403.927346751862,0,0,1
276,14,16,20274734,unobserved_candidate,32,41,1,1,297.446982755299,394.747702911849,0,0,1
277,14,17,20274735,unobserved_candidate,32,41,1,1,268.491660193115,398.124498006191,0,0,1
278,14,18,20274736,unobserved_candidate,32,41,1,1,240.29969563175,472.817302430667,0,0,1
279,14,19,20274737,unobserved_candidate,32,41,1,1,292.44810956615,429.424011002144,0,0,1
280,14,20,20274738,unobserved_candidate,32,41,1,1,333.640905715531,407.987479414364,0,0,1
281,15,1,20275719,unobserved_candidate,32,41,1,1,283.156904940313,441.670004980278,0,0,1
282,15,2,20275720,unobserved_candidate,32,41,1,1,282.19279492526,375.899158258753,0,0,1
283,15,3,20275721,unobserved_candidate,32,41,1,1,317.576039903105,500.606134924008,0,0,1
284,15,4,20275722,unobserved_candidate,32,41,1,1,271.922826972631,384.98009232845,0,0,1
285,15,5,20275723,unobserved_candidate,32,41,1,1,240.122720168122,433.191551418368,0,0,1
286,15,6,20275724,unobserved_candidate,32,41,1,1,286.438757772404,412.755707646497,0,0,1
287,15,7,20275725,unobserved_candidate,32,41,1,1,251.293021152533,505.722475015569,0,0,1
288,15,8,20275726,unobserved_candidate,32,41,1,1,284.167019143453,375.271480172817,0,0,1
289,15,9,20275727,unobserved_candidate,32,41,1,1,302.639573992571,396.881524049122,0,0,1
290,15,10,20275728,unobserved_candidate,32,41,1,1,225.57481263449,337.804415443797,0,0,1
291,15,11,20275729,unobserved_candidate,32,41,1,1,294.82963216311,421.660061488991,0,0,1
292,15,12,20275730,unobserved_candidate,32,41,1,1,253.094115507097,371.723857592303,0,0,1
293,15,13,20275731,unobserved_candidate,32,41,1,1,316.180397503915,474.526205864525,0,0,1
